Name,Genre,Status,Monthly Listeners,Top Track,Top Track Streams,Signal,Source,Source URL,Spotify URL,Spotify Artist ID,Image URL,Checked At,Shortlisted,Priority,Rep Status,Label,Territory,Socials,Notes,Last Synced
Sesame Girl,"Bedroom Pop, Dream Pop",Qualifies,43092,Back To Texas,143911,"Australian, dreamy bedroom-pop aesthetic. Playing small local venues (cafes, bars) around Sydney/Canberra.",DIY Magazine — The Neu Bulletin,https://diymag.com/feature/the-neu-bulletin-sailor-honeymoon-the-cindys-june-mcdoom-and-more,https://open.spotify.com/artist/1M0AUiCvSkRu9wBC3z2wBX,1M0AUiCvSkRu9wBC3z2wBX,https://i.scdn.co/image/ab6761610000e5eba20eda1e9f97f573a0112eed,2026-08-18,No,,,,,,,
Alfreda,Art Pop,Qualifies,3859,Patsy,39782,"London-based art-pop artist, theatrical/camp persona. 'Patsy' co-written with The xx's Oliver Sim. Independently distributed via AWAL, no label. Extremely early.",DIY Magazine — The Neu Bulletin,https://diymag.com/feature/the-neu-bulletin-theatre-essence-martins-chloe-slater-and-more,https://open.spotify.com/artist/57HS6X4QpZkt1JeT7QpNcM,57HS6X4QpZkt1JeT7QpNcM,https://i.scdn.co/image/ab6761610000e5eb984707cc0a9282987e1ec036,2026-08-18,No,,,,,,,
Essence Martins,"Alt-Pop, Soul",Qualifies,61163,Sleepless,618793,"British-Nigerian, folk-tinged alt-pop blending organic and synth textures. Currently on a UK support tour (O2 Institute3, KOKO), not headlining.",DIY Magazine — The Neu Bulletin,https://diymag.com/feature/the-neu-bulletin-theatre-essence-martins-chloe-slater-and-more,https://open.spotify.com/artist/4DahLnNm7J5zRiQmiQeWec,4DahLnNm7J5zRiQmiQeWec,https://i.scdn.co/image/ab6761610000e5ebcfdaf3c214013af2d4314172,2026-08-18,No,,,,,,,
samxemma,"Electro-Pop, Dance-Pop",Qualifies,16833,HOT BOYS MAKE HOT MUSIC,527137,"Sits in the same 'fans also like' cluster as Rose Gray and Empress Of — genuine dance-pop/electro-pop lane. Small indie licensing deal (September Recordings Ltd), not a major.",DIY Magazine — The Neu Bulletin,https://diymag.com/neu,https://open.spotify.com/artist/3t0tkWfZvQbKkmji8oa26y,3t0tkWfZvQbKkmji8oa26y,https://i.scdn.co/image/ab6761610000e5eb5f129328731d7cf876d5934c,2026-08-18,No,,,,,,,
KuleeAngee,"R&B, Neo-Soul Pop",Qualifies,31219,Animated Love,329972,"Playing small European club dates (Sebright Arms, PARIS 12). Released via small indie label (Underplay / LAB Records).",DIY Magazine — The Neu Bulletin,https://diymag.com/neu,https://open.spotify.com/artist/7u56IQStytIQ51gm5haOeM,7u56IQStytIQ51gm5haOeM,https://i.scdn.co/image/ab6761610000e5eb2781bf1212b1f3ad696f0c2b,2026-08-18,No,,,,,,,
Lucas Geddes,"Pop, R&B",Qualifies,12804,Can't Get Over,881293,"London-born vocalist, multi-instrumentalist, and producer. Fully self-released.",SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/2bj1et4tfyc7fyorwk2257,2bj1et4tfyc7fyorwk2257,https://i.scdn.co/image/ab6761610000e5eb094033301b67e58041d29849,2026-08-19,No,,,,,,,
Fran Lusty,Folk-Pop,Qualifies,3973,Brother,429341,"Featured in Indie/Pop/Folk compilations by alexrainbirdMusic. Charming, self-taught singer-songwriter profile.",SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/6idlNQLvsjYJwQG4ojsmKK,6idlNQLvsjYJwQG4ojsmKK,https://i.scdn.co/image/ab6761610000e5eb51a9ca8724d6614a45b62fbe,2026-08-19,No,,,,,,,
False Idah,Alt-Pop,Qualifies,248,Conditions,9713,"London-based songwriter and producer. Playing tiny local venues (Morocco Bound, Bermondsey). About as pre-fame as it gets.",SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/7vx7q4XKpxkTILIC7dV3Gs,7vx7q4XKpxkTILIC7dV3Gs,https://i.scdn.co/image/ab6761610000e5ebfbfac7c6b3b0e8ea27c972c2,2026-08-19,No,,,,,,,
Lagrace,Afro-Pop,Qualifies,5073,Kombo Mabé,637866,Congolese/Lingala-language afro-pop. Bio references being name-checked by ROSALÍA. Very early stage.,SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/3cnjExpCt2Ev7qI4aBXRQl,3cnjExpCt2Ev7qI4aBXRQl,https://i.scdn.co/image/ab6761610000e5eb6f4c576654e9df5ccb34ddb0,2026-08-19,No,,,,,,,
Seago,Alt-Pop,Established,44323,Cheapshot,2148915,44K monthly listeners (would qualify) but top track has 2.1M streams — over the cap. Featured on Pigeons & Planes 'Fresh Finds: Class of 2023.',SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/0bDqmuVnpecyZQuXZ7i85s,0bDqmuVnpecyZQuXZ7i85s,https://i.scdn.co/image/ab6761610000e5ebed2c3bad9668dcaf74c778cf,2026-08-19,No,,,,,,,
kerri,Alt-Pop,Established,83380,dead / gone,4112316,83K monthly listeners (would qualify) but top track has 4.1M streams — over the cap.,SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/7mupgmN5rkDNGrqQt1tjcf,7mupgmN5rkDNGrqQt1tjcf,https://i.scdn.co/image/ab6761610000e5ebd3211e48abddc43002c92734,2026-08-19,No,,,,,,,
emma who?,Pop,Established,195676,Hollow,1823643,"196K monthly listeners, top track 1.8M streams.",SongsBrew — RADAR,https://songsbrew.com/radar,https://open.spotify.com/artist/4ONWsNz3B7tSR0fgURDrj8,4ONWsNz3B7tSR0fgURDrj8,https://i.scdn.co/image/ab6761610000e5ebb98ed0e76471a9f3f0784f0f,2026-08-19,No,,,,,,,
Esme Emerson,Indie Pop,Established,45149,Show You (Truck Song),1207810,"45K monthly listeners (would qualify) but top track has 1.2M streams — over the cap. British-Chinese duo, touring with Hovvdy.",Notion Magazine — Undiscovered,https://notion.online/undiscovered-308-humble-the-great-pretty-sick-esme-emerson-starcleaner-reunion/,https://open.spotify.com/artist/6Jaz8RyF3F9ktK4aVFgbTL,6Jaz8RyF3F9ktK4aVFgbTL,https://i.scdn.co/image/ab6761610000e5eb0135b529fe8f9ef38c8ea3dd,2026-08-18,No,,,,,,,
Namasenda,Synth-Pop,Established,225951,No Enemies (feat. Namasenda),6452671,"226K monthly listeners. Swedish, former PC Music affiliate.",Hear Hear (Substack),https://hearhear.substack.com/p/essential-summer-2026-playlists,https://open.spotify.com/artist/5T68nryXXOMNE2kVe61fKX,5T68nryXXOMNE2kVe61fKX,https://i.scdn.co/image/ab6761610000e5eb5021e6c0fd79f816e15ce79c,2026-08-18,No,,,,,,,
Mack Keane,Pop,Established,911068,Ordinary Feelings,3954909,"911K monthly listeners — nearly 1M, too far along.",One Write Music (Substack),https://onewritemusic.substack.com/archive,https://open.spotify.com/artist/7fNI5DhplKeFCErRvzRCVO,7fNI5DhplKeFCErRvzRCVO,https://i.scdn.co/image/ab6761610000e5ebf3f639809be87cc93401cd06,2026-08-18,No,,,,,,,
Hannah Cole,"Pop, Fuzz-Pop",Established,72112,Massachusetts,1286121,72K monthly listeners (would qualify) but top track has 1.29M streams — over the cap. Also already professionally managed (mgmt contact listed in Spotify bio).,One Write Music (Substack),https://onewritemusic.substack.com/archive,https://open.spotify.com/artist/3XRj6XMmub9546oUagEqHY,3XRj6XMmub9546oUagEqHY,https://i.scdn.co/image/ab6761610000e5ebf6695b5294825fff96b1f3f0,2026-08-18,No,,,,,,,
Carter Benjamin,Pop,Established,40213,Sticks n' Stones,2844668,"40K monthly listeners (would qualify) but top track has 2.8M streams — over the cap. One viral breakout track, rest of catalog small.",One Write Music (Substack),https://onewritemusic.substack.com/,https://open.spotify.com/artist/2mN6M9Kde408WNk0YrHnQn,2mN6M9Kde408WNk0YrHnQn,https://i.scdn.co/image/ab6761610000e5eb9cf4ff219f2dde3141d2980b,2026-08-18,No,,,,,,,
Babe Dylan,Alt-Pop,Established,155226,Vape Luv,3364292,"155K monthly listeners. Mysterious duo, MGMT-adjacent sound, 'industry plant' speculation — unusually fast, well-funded rollout.",Hear Hear (Substack),https://hearhear.substack.com/p/7-rising-artists-to-know-in-2026,https://open.spotify.com/artist/0xd16ai4mtpBCnoaAHCw1a,0xd16ai4mtpBCnoaAHCw1a,https://i.scdn.co/image/ab6761610000e5eb130c759031ef966ca1993559,2026-08-18,No,,,,,,,
SOFIA ISELLA,Pop,Established,932963,Hot Gum,25391285,"932K monthly listeners, top track 25.4M streams. Already touring internationally.",Pigeons and Planes,https://www.pigeonsandplanes.com/read/artists-to-watch-2026,https://open.spotify.com/artist/40Aif8AfzbNGA2s52ESEE2,40Aif8AfzbNGA2s52ESEE2,https://i.scdn.co/image/ab6761610000e5ebfe65607fc5d71a6ba257b04a,2026-08-18,No,,,,,,,
Sophia Stel,Pop,Established,770037,I'll Take It,11815605,"770K monthly listeners, top track 11.8M streams. Touring the PC Music/hyperpop circuit with A.G. Cook, Hudson Mohawke.",Pigeons and Planes,https://www.pigeonsandplanes.com/read/artists-to-watch-2026,https://open.spotify.com/artist/18w9tq3c2x11niEFNYqeex,18w9tq3c2x11niEFNYqeex,https://i.scdn.co/image/ab6761610000e5eb5824a9f9a31cd7cbec85c10f,2026-08-18,No,,,,,,,
Lexa Gates,Pop,Established,231556,Rotten To The Core,9069291,"231K monthly listeners, top track 9M streams. Touring theaters/arenas supporting Ravyn Lenae.",Pigeons and Planes,https://www.pigeonsandplanes.com/read/artists-to-watch-2026,https://open.spotify.com/artist/5D70nuec9omH4CXmCGXGTu,5D70nuec9omH4CXmCGXGTu,https://i.scdn.co/image/ab6761610000e5eb19fb94ccb172aa71879eb1d8,2026-08-18,No,,,,,,,
Natanya,Pop,Established,351656,Sofa Joy,2185734,351K monthly listeners. Headlining her own tour across Europe and North America.,Pigeons and Planes,https://www.pigeonsandplanes.com/read/artists-to-watch-2026,https://open.spotify.com/artist/4QlEFh3gBGqmboPVc7AwUp,4QlEFh3gBGqmboPVc7AwUp,https://i.scdn.co/image/ab6761610000e5eb6cad9182d5b1c05178579d1c,2026-08-18,No,,,,,,,
Liim,Pop,Established,186307,Pupils,3720557,"186K monthly listeners. 22, Harlem/Brooklyn, Gucci & Supreme campaigns, upcoming album, major festival bookings (C2C Turin).",Pigeons and Planes,https://www.pigeonsandplanes.com/read/artists-to-watch-2026,https://open.spotify.com/artist/4WBs3HlXxMAqo8Yi6m1PCM,4WBs3HlXxMAqo8Yi6m1PCM,https://i.scdn.co/image/ab6761610000e5eb552a55dfc284de6017b9f596,2026-08-18,No,,,,,,,
Haute & Freddy,Pop,Established,1040923,Shy Girl,12689054,"Over 1M monthly listeners, 32-date North American headline tour. Confirms Spotify's own 'Artists to Watch' picks are already substantial.",Spotify Newsroom,https://newsroom.spotify.com/2026-01-12/artists-to-watch-2026/,https://open.spotify.com/artist/66T34XqGkEWbzKWALSBDuR,66T34XqGkEWbzKWALSBDuR,https://i.scdn.co/image/ab6761610000e5ebf24b273d9959e097972d5992,2026-08-18,No,,,,,,,
Baby Nova,Pop,Established,656157,Dodge,1368909,656K monthly listeners.,Spotify Newsroom,https://newsroom.spotify.com/2026-01-12/artists-to-watch-2026/,https://open.spotify.com/artist/2dvThKiNFqpd5CVFCtJuFf,2dvThKiNFqpd5CVFCtJuFf,https://i.scdn.co/image/ab6761610000e5eb8569d7cc2e8aa97c1c0ddb63,2026-08-18,No,,,,,,,
Noah Rinker,Pop,Established,3331152,Save My Soul,63186073,"3.3M monthly listeners, top track 63M streams. Playing the Ryman Auditorium.",Spotify Newsroom,https://newsroom.spotify.com/2026-01-12/artists-to-watch-2026/,https://open.spotify.com/artist/7Iz5t3KpNWPtB2uB2YyeN6,7Iz5t3KpNWPtB2uB2YyeN6,https://i.scdn.co/image/ab6761610000e5eb034d4cadc0077cfed95d47f1,2026-08-18,No,,,,,,,
Mikayla Geier,Pop,Established,379458,piano in the sky,12376279,"379K monthly listeners, top track 12.4M streams.",Spotify Newsroom,https://newsroom.spotify.com/2026-01-12/artists-to-watch-2026/,https://open.spotify.com/artist/3L7svRFWE5kcIReq1uwC5J,3L7svRFWE5kcIReq1uwC5J,https://i.scdn.co/image/ab6761610000e5ebbf55e8a9205d97638b3b8283,2026-08-18,No,,,,,,,
Alessi Rose,Alt-Pop,Established,338845,oh my,10981531,338K monthly listeners. Playing festivals alongside Lorde and Zara Larsson.,BBC Sound of 2026,https://www.officialcharts.com/chart-news/bbc-sound-of-2026-nominees/,https://open.spotify.com/artist/6QXtidyXX0uGggafrYdktx,6QXtidyXX0uGggafrYdktx,https://i.scdn.co/image/ab6761610000e5eb715ffd45173e5ed071a4e2ae,2026-08-18,No,,,,,,,
Chloe Qisha,Pop,Established,790555,21st Century Cool Girl,9923011,790K monthly listeners. Playing Reading & Leeds and Austin City Limits.,BBC Sound of 2026,https://www.officialcharts.com/chart-news/bbc-sound-of-2026-nominees/,https://open.spotify.com/artist/1WNmfSqydnt1FDJKg3l6lw,1WNmfSqydnt1FDJKg3l6lw,https://i.scdn.co/image/ab6761610000e5eb6ce6c2c63238915bf4639c01,2026-08-18,No,,,,,,,
Florence Road,Pop,Established,2564950,Hanging Out To Dry,23731360,"2.56M monthly listeners. Playing Reading, Leeds, and Rock en Seine.",BBC Sound of 2026,https://www.clashmusic.com/news/bbc-radio-1s-sound-of-2026-longlist-revealed/,https://open.spotify.com/artist/0zzKEeF2bAVKrWeKc9CyJV,0zzKEeF2bAVKrWeKc9CyJV,https://i.scdn.co/image/ab6761610000e5ebbc977e0b5ade4d8ac553379c,2026-08-18,No,,,,,,,
Sasha Keable,"Pop, R&B",Established,1885353,NIGHT OFF,37264850,"1.88M monthly listeners, top track 37M streams. Major feature credits, playing ACL Festival.",BBC Sound of 2026,https://www.clashmusic.com/news/bbc-radio-1s-sound-of-2026-longlist-revealed/,https://open.spotify.com/artist/7MxGWmiAbqjNOGmj23wbWf,7MxGWmiAbqjNOGmj23wbWf,https://i.scdn.co/image/ab6761610000e5eb5bc948e89bba35a5f24c9b2d,2026-08-18,No,,,,,,,
AKRIILA,"Pop, Reggaeton",Established,3111505,Llora Llora,55581991,"3.1M monthly listeners, top track 55.6M streams. 26-date European tour.",Popdust,https://www.popdust.com/artists-to-watch-2026,https://open.spotify.com/artist/39hfuTf4PHfnHgIl0QBDGL,39hfuTf4PHfnHgIl0QBDGL,https://i.scdn.co/image/ab6761610000e5ebc8d3c61efe70ba51161f57ca,2026-08-18,No,,,,,,,
Moody Joody,Pop,Established,322974,Velvet Connection,4573555,"322K monthly listeners. Playing 8123 Fest with The Maine, The Band CAMINO.",Tuned Up,https://www.iamtunedup.com/tuned-ups-2026-breakout-artist-predictions/,https://open.spotify.com/artist/0ndpuECxVStTsHhzq4Euxz,0ndpuECxVStTsHhzq4Euxz,https://i.scdn.co/image/ab6761610000e5ebb4071cab2932274da4fcc011,2026-08-18,No,,,,,,,
Grace Ives,Electro-Pop,Established,528480,Lullaby,16640614,"528,480 monthly listeners. Already touring with Robyn, Bleachers, Gracie Abrams.",Hear Hear (Substack),https://hearhear.substack.com/p/7-rising-artists-to-know-in-2026,https://open.spotify.com/artist/4TZieE5978SbTInJswaay2,4TZieE5978SbTInJswaay2,https://i.scdn.co/image/ab6761610000e5ebb13056618197091ef0d3b5e6,2026-08-18,No,,,,,,,
Sarah Kinsley,Dream Pop,Established,,breakout single,61000000,Breakout single has ~61M streams — well over the 1M cap.,Hear Hear (Substack),https://hearhear.substack.com/p/7-rising-artists-to-know-in-2026,https://open.spotify.com/artist/34A8vV1MCxGpA14KspqQuC,34A8vV1MCxGpA14KspqQuC,https://i.scdn.co/image/ab6761610000e5eb2bd0d5319cf1eaf527b0a043,2026-08-18,No,,,,,,,
Lay Bankz,Pop,Established,,Tell Ur Girlfriend,364006709,"Already proven TikTok algorithm command + real chart traction. Positioned for full breakout, too far along.",Billboard,https://www.billboard.com/pro/major-label-viral-artist-signings-tiktok-cooling-off/,https://open.spotify.com/artist/4OVbrPbhvK46A1uXTU1u5F,4OVbrPbhvK46A1uXTU1u5F,https://i.scdn.co/image/ab6761610000e5ebcbe07eb41d5a7c57741b3881,,No,,,,,,,
Adore,Electronic Pop,Established,,did i tell u that i miss u,282187785,'did i tell u that i miss u' has hit hundreds of millions of streams.,Rolling Stone UK,https://www.rollingstone.co.uk/music/rolling-stone-uk-future-of-music-2026-full-list-61467/,https://open.spotify.com/artist/7ofG5BaSiQp8WeL4YCYDhF,7ofG5BaSiQp8WeL4YCYDhF,https://i.scdn.co/image/ab6761610000e5ebb2e0d242decc77b993b82149,,No,,,,,,,
ADÉLA,Pop,Established,,Superscar,75586743,"Already signed to Capitol/Polydor after 'The Debut: Dream Academy'; collabs with Grimes, Dylan Brady.",Variety,https://variety.com/2026/film/news/tate-mcrae-sombr-tyriq-withers-power-of-young-hollywood-1236810170/,https://open.spotify.com/artist/2qanRMyA5bNuTvz1dK45OP,2qanRMyA5bNuTvz1dK45OP,https://i.scdn.co/image/ab6761610000e5eb2c27abd675ecdf05325e9615,,No,,,,,,,
Skye Newman,"Pop, Soul",Established,,Family Matters,44569624,BBC Sound of 2026 winner. Four Official Singles Chart hits already.,BBC Sound of 2026,https://diymag.com/news/skye-newman-winner-bbc-radio-1-sound-of-2026,https://open.spotify.com/artist/4UoEzpWZrFWvlGYOzTEn1M,4UoEzpWZrFWvlGYOzTEn1M,https://i.scdn.co/image/ab6761610000e5eb1401547523ecd0d6d329cebb,,No,,,,,,,
Olivia Dean,Pop,Established,,Man I Need,1367273461,2026 Grammy Best New Artist winner. No. 1 on Billboard Pop Airplay.,Grammy.com,https://www.grammy.com/news/2026-grammys-nominations-best-new-artist/,https://open.spotify.com/artist/00x1fYSGhdqScXBRpSj3DW,00x1fYSGhdqScXBRpSj3DW,https://i.scdn.co/image/ab6761610000e5eb5c7577ad44daeb7ce4b941a1,,No,,,,,,,
sombr,Alt-Pop,Established,,back to friends,2151784031,"2026 Grammy Best New Artist nominee. 'Back to Friends' was a Hot 100 top-10, charted 52 weeks.",Grammy.com,https://www.grammy.com/news/2026-grammys-nominations-best-new-artist/,https://open.spotify.com/artist/4G9NDjRyZFDlJKMRL8hx3S,4G9NDjRyZFDlJKMRL8hx3S,https://i.scdn.co/image/ab6761610000e5eb78edaa6468cae153565c2c97,,No,,,,,,,
KATSEYE,Pop,Established,,Gabriela,943095017,2026 Grammy Best New Artist + Best Pop Duo/Group nominee.,Grammy.com,https://www.grammy.com/news/2026-grammys-nominations-best-new-artist/,https://open.spotify.com/artist/3c0gDdb9lhnHGFtP4prQpn,3c0gDdb9lhnHGFtP4prQpn,https://i.scdn.co/image/ab6761610000e5eb04ba72b2749f90d62152ebec,,No,,,,,,,
Addison Rae,Pop,Established,,Diet Pepsi,740403481,2026 Grammy Best New Artist nominee.,Grammy.com,https://www.grammy.com/news/2026-grammys-nominations-best-new-artist/,https://open.spotify.com/artist/4gvjmrtzydbMpyJaXUtwvP,4gvjmrtzydbMpyJaXUtwvP,https://i.scdn.co/image/ab6761610000e5eb8aaca79d5544dc02bea2b6b2,,No,,,,,,,
Alex Warren,Pop,Established,,Ordinary,2124528700,2026 Grammy Best New Artist nominee. 'Ordinary' was a record-breaking hit.,Grammy.com,https://www.grammy.com/news/2026-grammys-nominations-best-new-artist/,https://open.spotify.com/artist/0fTSzq9jAh4c36UVb4V7CB,0fTSzq9jAh4c36UVb4V7CB,https://i.scdn.co/image/ab6761610000e5ebe027df2e591e1a050e5235cc,,No,,,,,,,
Lola Young,Pop,Established,,Messy,1268207580,2026 Grammy Best New Artist nominee.,Grammy.com,https://www.grammy.com/news/2026-grammys-nominations-best-new-artist/,https://open.spotify.com/artist/67FB4n52MgexGQIG8s0yUH,67FB4n52MgexGQIG8s0yUH,https://i.scdn.co/image/ab6761610000e5ebb9fb07d9832af024020defac,,No,,,,,,,
Audrey Hobert,Pop,Established,,Sue me,129210212,Debut album peaked at #40 Billboard Hot 100. Sold-out tour.,Popdust,https://www.popdust.com/artists-to-watch-2026,https://open.spotify.com/artist/4N0TAwz9vhnQtjCqS65aKS,4N0TAwz9vhnQtjCqS65aKS,https://i.scdn.co/image/ab6761610000e5eb4fc78e354b19324810f1e933,,No,,,,,,,
Tate McRae,Pop,Established,,greedy,2327622282,"Variety Power of Young Hollywood 2026, Triple Threat Award. 20.8B+ overall streams.",Variety,https://variety.com/2026/film/news/tate-mcrae-sombr-tyriq-withers-power-of-young-hollywood-1236810170/,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym,45dkTj5sMRSjrmBSBeiHym,https://i.scdn.co/image/ab6761610000e5ebbed8016bd64422793ff3bc75,,No,,,,,,,
Chanpan,Pop,Established,283580,endlessly,8286824,"284K monthly listeners. Already covered by Vogue, CNN, HBO, Billboard.",DIY Magazine — The Neu Bulletin,https://diymag.com/neu,https://open.spotify.com/artist/1fWoiW6kTjrVDoRc4ba3kh,1fWoiW6kTjrVDoRc4ba3kh,https://i.scdn.co/image/ab6761610000e5ebd929fb535c844ceba4274762,2026-08-18,No,,,,,,,
Tia Gordon,Bedroom Pop,Established,467624,Cold Showers,12216883,468K monthly listeners. Touring UK/France (Jazz Cafe London).,DIY Magazine — The Neu Bulletin,https://diymag.com/neu,https://open.spotify.com/artist/5rXNmuTfaGC8hw0JEQOpLc,5rXNmuTfaGC8hw0JEQOpLc,https://i.scdn.co/image/ab6761610000e5eb846ac8aa1fc79cf5cd0d222d,2026-08-18,No,,,,,,,
Radio Free Alice,"Pop, Rock",Established,469819,Look What You've Done,7016737,"470K monthly listeners. Playing Reading Festival, Riot Fest, and major European festivals with Twenty One Pilots, Lorde.",DIY Magazine — The Neu Bulletin,https://diymag.com/neu,https://open.spotify.com/artist/4cCA6V2DRIDqeYDyGIcEoj,4cCA6V2DRIDqeYDyGIcEoj,https://i.scdn.co/image/ab6761610000e5eb2aa98b09bdaeec471a285c7d,2026-08-18,No,,,,,,,
Gabriel Jacoby,"R&B, Neo-Soul",Established,590252,the one,6444202,590K monthly listeners. Playing Austin City Limits.,Pigeons and Planes,https://www.pigeonsandplanes.com/read/artists-to-watch-2026,https://open.spotify.com/artist/05pLxSVIyZiQTqQnR4QQ9H,05pLxSVIyZiQTqQnR4QQ9H,https://i.scdn.co/image/ab6761610000e5eb0c77047950c697730f5c9d3f,2026-08-18,No,,,,,,,
